state,value
Alabama,57937
Alaska,0
Arkansas,0
Arizona,85666
California,122493
Colorado,94125
Connecticut,71100
Delaware,0
District of Columbia,110181
Florida,77625
Georgia,80666
Hawaii,0
Iowa,78900
Idaho,0
Illinois,116662
Indiana,90300
Kansas,0
Kentucky,97000
Louisiana,63000
Maine,0
Maryland,97357
Massachusetts,108483
Michigan,100250
Minnesota,85500
Missouri,84722
Mississippi,0
Montana,0
North Carolina,98452
North Dakota,0
Nebraska,57000
New Hampshire,0
New Jersey,0
New Mexico,74333
Nevada,0
New York,98485
Ohio,87571
Oklahoma,0
Oregon,92125
Pennsylvania,97209
Rhode Island,100000
South Carolina,60500
South Dakota,0
Tennessee,100500
Texas,100708
Utah,94150
Virginia,95621
Vermont,0
Washington,93190
Wisconsin,73300
West Virginia,0
Wyoming,0
