state,value
Alabama,91.21428571
Alaska,0
Arkansas,0
Arizona,104.3
California,170.2680556
Colorado,112.1
Connecticut,104.8
Delaware,0
District of Columbia,120.1
Florida,102.85
Georgia,100.3
Hawaii,0
Iowa,89.9
Idaho,0
Illinois,99.01714286
Indiana,90.2
Kansas,0
Kentucky,88.26666667
Louisiana,90.53333333
Maine,0
Maryland,125.7060606
Massachusetts,107
Michigan,95.23333333
Minnesota,105.4
Missouri,88.92
Mississippi,0
Montana,0
North Carolina,95.15714286
North Dakota,0
Nebraska,92.9
New Hampshire,0
New Jersey,0
New Mexico,92.9
Nevada,0
New York,122.8984615
Ohio,91.73333333
Oklahoma,0
Oregon,113.55
Pennsylvania,96.39
Rhode Island,111.5
South Carolina,91.9
South Dakota,0
Tennessee,94.7375
Texas,100.2428571
Utah,104.3714286
Virginia,99.43333333
Vermont,0
Washington,122.3166667
Wisconsin,94.05
West Virginia,0
Wyoming,0
