state,value
Alabama,25682.85714
Alaska,0
Arkansas,0
Arizona,45160
California,65912.22222
Colorado,55022.2
Connecticut,22405
Delaware,0
District of Columbia,64222
Florida,50145.5
Georgia,42978.33333
Hawaii,0
Iowa,44837
Idaho,0
Illinois,84307.45714
Indiana,56868
Kansas,0
Kentucky,63184.66667
Louisiana,28377.33333
Maine,0
Maryland,51629.21212
Massachusetts,28714
Michigan,70885.66667
Minnesota,45166.5
Missouri,26675.4
Mississippi,0
Montana,0
North Carolina,62033.66667
North Dakota,0
Nebraska,21416
New Hampshire,0
New Jersey,0
New Mexico,38796.66667
Nevada,0
New York,51825.12308
Ohio,64047.66667
Oklahoma,0
Oregon,41278.5
Pennsylvania,65955.8
Rhode Island,57305
South Carolina,25289
South Dakota,0
Tennessee,62705.75
Texas,59457
Utah,51557.71429
Virginia,63599
Vermont,0
Washington,43603
Wisconsin,37306.1
West Virginia,0
Wyoming,0
